search_method,scenario_name,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,config_name,coarse_config_name,refine_config_name,sweep_phase,local_az_half_width,local_el_center_half_width,az_center_bias_deg,el_center_bias_deg,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,B,W_method,search_param_mode,full_el_sep_deg_list_text,coarse_el_sep_deg_list_text,fine_el_sep_deg_list_text,joint_success_rate,az_rmse_mean,el_rmse_mean,combined_rmse_mean,boundary_hit_rate,mean_num_pairs,mean_full_num_pairs,mean_coarse_num_pairs,mean_refine_num_pairs,mean_reduction_ratio_vs_full,full_grid_match_rate,topK_miss_rate,full_success_test_fail_rate,el_sep_match_rate_vs_full,max_score_mean,cond_best_GHG_mean,n_trials,overall_joint_success_rate,overall_az_rmse_mean,overall_el_rmse_mean,overall_combined_rmse_mean,worst_case_success,overall_boundary_hit_rate,overall_mean_num_pairs,overall_mean_reduction_ratio_vs_full,overall_full_grid_match_rate,overall_topK_miss_rate,overall_el_sep_match_rate_vs_full
coarse_to_fine,easy_noncoherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,17883,131461,7353,10530,7.36340788948177,1,0,0,1,203984.369752767,1.34414817558841,10,1,0.0366556110726745,0.06678628377114,0.0765589261213527,1,0,19161.9,6.89563144212141,1,0,1
coarse_to_fine,hard_phase,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0,0.99,150,1,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0250000000000002,0.0502493781056035,0.0561248608016083,0,18774,131461,7353,11421,7.00281182302762,1,0,0,1,159921.136578551,2.26808431829936,10,1,0.0366556110726745,0.06678628377114,0.0765589261213527,1,0,19161.9,6.89563144212141,1,0,1
coarse_to_fine,low_snr_hard,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,20641.5,131461,7353,13288.5,6.43722002635046,1,0,0,1,96125.8619762708,2.76561604059513,10,1,0.0366556110726745,0.06678628377114,0.0765589261213527,1,0,19161.9,6.89563144212141,1,0,1
coarse_to_fine,strong_coherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0,0.99,5,1,1.27,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280884,0.0502493781056035,0.0543139024560002,0,19998,131461,7353,12645,6.57370737073707,1,0,0,1,195874.664776659,1.29607512490738,10,1,0.0366556110726745,0.06678628377114,0.0765589261213527,1,0,19161.9,6.89563144212141,1,0,1
coarse_to_fine,weak_secondary,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0,0.99,150,0.3,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,18513,131461,7353,11160,7.1010101010101,1,0,0,1,96270.9642462619,2.76561604059513,10,1,0.0366556110726745,0.06678628377114,0.0765589261213527,1,0,19161.9,6.89563144212141,1,0,1
full_fine,easy_noncoherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280884,0.0559016994374931,0.0595818764390635,0,131461,131461,0,0,1,1,0,0,1,203984.369752767,1.34414817558841,10,1,0.0366556110726745,0.0667862837711398,0.0765589261213525,1,0,131461,1,1,0,1
full_fine,hard_phase,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0,0.99,150,1,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0250000000000002,0.0502493781056035,0.0561248608016083,0,131461,131461,0,0,1,1,0,0,1,159921.136578551,2.26808431829936,10,1,0.0366556110726745,0.0667862837711398,0.0765589261213525,1,0,131461,1,1,0,1
full_fine,low_snr_hard,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,131461,131461,0,0,1,1,0,0,1,96125.8619762708,2.76561604059513,10,1,0.0366556110726745,0.0667862837711398,0.0765589261213525,1,0,131461,1,1,0,1
full_fine,strong_coherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0,0.99,5,1,1.27,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280884,0.0502493781056035,0.0543139024560002,0,131461,131461,0,0,1,1,0,0,1,195874.664776659,1.29607512490738,10,1,0.0366556110726745,0.0667862837711398,0.0765589261213525,1,0,131461,1,1,0,1
full_fine,weak_secondary,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,0,0.99,150,0.3,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,131461,131461,0,0,1,1,0,0,1,96270.9642462619,2.76561604059513,10,1,0.0366556110726745,0.0667862837711398,0.0765589261213525,1,0,131461,1,1,0,1
coarse_to_fine,easy_noncoherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0.2,0,0,0,1,1.27,0.67,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280887,0.0559016994374943,0.0595818764390647,0,16830,131461,7353,9477,7.81111111111111,1,0,0,1,203482.763201229,1.36524913305289,10,1,0.0267540218448181,0.0561960354981793,0.0624526188471318,1,0,17926.2,7.35689648765386,1,0,1
