route_name,K_fbss,phase_offset_deg,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,lambda2_over_noise,degraded_sample_count
verify_joint_K28_phase00,28,0,3,1.816667,-0.908333,0.908333,28,1.000000,1.000000,1.000000,0.027730,12.000000,2.000000,-0.013601,0.037501,234.653117,0
verify_joint_K28_phase00,28,0,3,1.816667,-0.908333,0.908333,30,1.000000,1.000000,1.000000,0.027598,12.000000,2.000000,-0.013707,0.037501,369.657412,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,-4,0.880000,0.000000,0.000000,25.044289,22.000000,14.000000,0.101226,14.558016,1.071995,200
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,-2,0.865000,0.000000,0.000000,26.633601,22.000000,14.000000,0.649374,16.012088,1.072371,200
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,0,0.885000,0.000000,0.000000,26.709298,22.000000,14.000000,0.268573,15.295994,1.071981,199
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,2,0.870000,0.000000,0.000000,25.626582,22.000000,14.000000,-0.196996,14.130229,1.075041,194
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,4,0.925000,0.000000,0.000000,23.263125,22.000000,14.000000,0.647726,12.416431,1.078890,187
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,6,0.925000,0.000000,0.000000,15.610784,22.000000,14.000000,-1.074186,6.823635,1.106039,133
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,8,1.000000,0.000000,0.000000,3.906761,22.000000,14.000000,-0.005482,0.259291,1.200124,14
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,10,1.000000,0.000000,0.050000,0.369069,22.000000,14.000000,-0.012786,0.258130,1.349879,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,12,1.000000,0.010000,0.355000,0.267191,22.000000,14.000000,-0.017035,0.195618,1.608790,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,14,1.000000,0.075000,0.900000,0.155741,22.000000,14.000000,-0.018804,0.123524,2.040300,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,16,1.000000,0.300000,1.000000,0.101772,22.000000,14.000000,-0.014861,0.084052,2.710935,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,18,1.000000,0.685000,1.000000,0.071214,22.000000,14.000000,-0.020606,0.068947,3.777464,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,20,1.000000,0.890000,1.000000,0.055659,22.000000,14.000000,-0.018077,0.055838,5.473054,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,22,1.000000,0.980000,1.000000,0.042903,22.000000,14.000000,-0.013512,0.044479,8.138744,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,24,1.000000,1.000000,1.000000,0.036267,22.000000,14.000000,-0.013808,0.041501,12.439041,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,26,1.000000,1.000000,1.000000,0.033255,22.000000,14.000000,-0.016235,0.041380,19.126781,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,28,1.000000,1.000000,1.000000,0.031341,22.000000,14.000000,-0.016922,0.040549,29.847767,0
verify_joint_K28_phase00,28,0,5,1.090000,-0.545000,0.545000,30,1.000000,1.000000,1.000000,0.028196,22.000000,14.000000,-0.013566,0.036694,46.651162,0
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,-4,0.875000,0.000000,0.000000,28.171015,28.000000,24.000000,1.897714,18.453072,1.071114,200
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,-2,0.870000,0.000000,0.000000,27.234797,28.000000,24.000000,3.418696,19.334563,1.072531,200
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,0,0.890000,0.000000,0.000000,28.367721,28.000000,24.000000,-1.105232,17.991643,1.071840,200
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,2,0.910000,0.000000,0.000000,27.477864,28.000000,24.000000,1.440517,17.841196,1.072312,200
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,4,0.865000,0.000000,0.000000,25.967905,28.000000,24.000000,-2.225626,17.524193,1.070107,200
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,6,0.900000,0.000000,0.000000,27.673030,28.000000,24.000000,-1.090224,17.440739,1.070581,200
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,8,0.845000,0.000000,0.000000,24.186333,28.000000,24.000000,-0.488409,13.952764,1.073136,200
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,10,0.930000,0.000000,0.000000,21.713839,28.000000,24.000000,0.491934,11.695567,1.081074,191
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,12,0.960000,0.000000,0.000000,13.845440,28.000000,24.000000,-0.450906,5.740538,1.112362,139
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,14,0.995000,0.000000,0.000000,1.964569,28.000000,24.000000,-0.137894,0.329172,1.195407,23
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,16,1.000000,0.000000,0.000000,0.348317,28.000000,24.000000,-0.007322,0.141950,1.362343,4
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,18,1.000000,0.000000,0.055000,0.253314,28.000000,24.000000,0.001480,0.185959,1.626226,0
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,20,1.000000,0.015000,0.330000,0.197435,28.000000,24.000000,-0.011901,0.151870,2.058792,0
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,22,1.000000,0.170000,0.820000,0.125646,28.000000,24.000000,-0.013079,0.104006,2.743580,0
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,24,1.000000,0.505000,0.995000,0.082763,28.000000,24.000000,-0.012668,0.074242,3.841112,0
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,26,1.000000,0.870000,1.000000,0.060341,28.000000,24.000000,-0.015781,0.061557,5.568586,0
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,28,1.000000,0.990000,1.000000,0.048306,28.000000,24.000000,-0.016464,0.054252,8.318036,0
verify_joint_K28_phase00,28,0,7,0.778571,-0.389286,0.389286,30,1.000000,0.995000,1.000000,0.042075,28.000000,24.000000,-0.016157,0.048845,12.660534,0
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,-4,0.880000,0.000000,0.000000,27.143015,NaN,NaN,-0.577119,16.852033,1.072766,200
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,-2,0.885000,0.000000,0.000000,28.472678,NaN,NaN,-3.256823,20.411159,1.072574,200
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,0,0.880000,0.000000,0.000000,27.235403,NaN,NaN,0.049278,16.380958,1.072213,200
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,2,0.855000,0.000000,0.000000,31.266867,NaN,NaN,-1.329082,20.134480,1.069103,200
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,4,0.905000,0.000000,0.000000,27.668524,NaN,NaN,1.228308,17.862408,1.072920,200
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,6,0.860000,0.000000,0.000000,29.570641,NaN,NaN,-0.285781,17.713003,1.072111,200
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,8,0.880000,0.000000,0.000000,26.513224,NaN,NaN,-0.031652,15.848119,1.074740,200
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,10,0.835000,0.000000,0.000000,26.462177,NaN,NaN,-1.248112,16.466548,1.074776,200
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,12,0.885000,0.000000,0.000000,28.351312,NaN,NaN,0.269373,16.591199,1.073014,200
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,14,0.885000,0.000000,0.000000,26.087417,NaN,NaN,-0.129068,14.913268,1.074165,200
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,16,0.890000,0.000000,0.000000,23.186122,NaN,NaN,-0.973343,12.963388,1.080089,192
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,18,0.965000,0.000000,0.000000,16.234022,NaN,NaN,-0.371960,7.436726,1.103383,157
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,20,1.000000,0.000000,0.000000,2.722166,NaN,NaN,-0.055760,0.541747,1.185384,42
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,22,1.000000,0.000000,0.000000,0.341479,NaN,NaN,-0.014604,0.048536,1.336717,4
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,24,1.000000,0.000000,0.000000,0.224641,NaN,NaN,-0.020990,0.143537,1.598875,0
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,26,1.000000,0.005000,0.030000,0.189627,NaN,NaN,-0.011054,0.149109,2.005561,0
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,28,1.000000,0.030000,0.115000,0.157982,NaN,NaN,-0.012758,0.137516,2.650455,0
verify_joint_K28_phase00,28,0,10,0.545000,-0.272500,0.272500,30,1.000000,0.170000,0.525000,0.120344,NaN,NaN,-0.012919,0.110476,3.685537,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,-4,1.000000,1.000000,1.000000,0.050144,-4.000000,-4.000000,0.001909,0.050361,14.324216,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,-2,1.000000,1.000000,1.000000,0.049725,-4.000000,-4.000000,0.000645,0.049435,22.238093,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,0,1.000000,1.000000,1.000000,0.049313,-4.000000,-4.000000,0.000440,0.049208,34.595141,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,2,1.000000,1.000000,1.000000,0.048783,-4.000000,-4.000000,0.000753,0.049164,54.397529,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,4,1.000000,1.000000,1.000000,0.048895,-4.000000,-4.000000,0.000817,0.049469,85.685899,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,6,1.000000,1.000000,1.000000,0.048928,-4.000000,-4.000000,0.001056,0.049814,135.059228,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,8,1.000000,1.000000,1.000000,0.048852,-4.000000,-4.000000,0.001105,0.049858,213.710953,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,10,1.000000,1.000000,1.000000,0.048669,-4.000000,-4.000000,0.001252,0.049848,337.190375,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,12,1.000000,1.000000,1.000000,0.048648,-4.000000,-4.000000,0.001036,0.049640,533.484584,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,14,1.000000,1.000000,1.000000,0.048629,-4.000000,-4.000000,0.001093,0.049686,840.381837,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,16,1.000000,1.000000,1.000000,0.048718,-4.000000,-4.000000,0.000994,0.049687,1319.461306,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,18,1.000000,1.000000,1.000000,0.048682,-4.000000,-4.000000,0.001017,0.049680,2048.630848,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,20,1.000000,1.000000,1.000000,0.048687,-4.000000,-4.000000,0.001055,0.049725,3148.472447,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,22,1.000000,1.000000,1.000000,0.048654,-4.000000,-4.000000,0.001065,0.049703,4733.945076,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,24,1.000000,1.000000,1.000000,0.048671,-4.000000,-4.000000,0.001049,0.049707,6931.698069,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,26,1.000000,1.000000,1.000000,0.048667,-4.000000,-4.000000,0.001083,0.049737,9763.664530,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,28,1.000000,1.000000,1.000000,0.048657,-4.000000,-4.000000,0.001064,0.049708,13205.580794,0
verify_joint_K28_phase05,28,5,1,5.450000,-2.725000,2.725000,30,1.000000,1.000000,1.000000,0.048660,-4.000000,-4.000000,0.001037,0.049685,16925.019704,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,-4,1.000000,0.085000,1.000000,0.161345,4.000000,-4.000000,0.005311,0.080119,1.627962,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,-2,1.000000,0.390000,1.000000,0.100722,4.000000,-4.000000,0.012997,0.068060,2.066324,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,0,1.000000,0.710000,1.000000,0.070805,4.000000,-4.000000,0.003560,0.047623,2.755259,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,2,1.000000,0.865000,1.000000,0.056263,4.000000,-4.000000,0.005693,0.043711,3.859315,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,4,1.000000,0.945000,1.000000,0.048529,4.000000,-4.000000,0.005805,0.041097,5.590528,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,6,1.000000,1.000000,1.000000,0.038957,4.000000,-4.000000,0.004875,0.037691,8.366911,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,8,1.000000,1.000000,1.000000,0.037117,4.000000,-4.000000,0.007053,0.038977,12.718273,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,10,1.000000,1.000000,1.000000,0.034558,4.000000,-4.000000,0.004709,0.036431,19.660887,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,12,1.000000,1.000000,1.000000,0.032358,4.000000,-4.000000,0.005102,0.035751,30.633611,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,14,1.000000,1.000000,1.000000,0.031906,4.000000,-4.000000,0.005626,0.036232,47.943520,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,16,1.000000,1.000000,1.000000,0.031479,4.000000,-4.000000,0.005372,0.035868,75.397308,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,18,1.000000,1.000000,1.000000,0.031365,4.000000,-4.000000,0.005828,0.036325,119.051556,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,20,1.000000,1.000000,1.000000,0.030999,4.000000,-4.000000,0.005435,0.035747,188.035401,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,22,1.000000,1.000000,1.000000,0.031016,4.000000,-4.000000,0.005615,0.035954,295.306933,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,24,1.000000,1.000000,1.000000,0.030932,4.000000,-4.000000,0.005469,0.035831,462.238727,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,26,1.000000,1.000000,1.000000,0.030819,4.000000,-4.000000,0.005163,0.035477,717.722818,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,28,1.000000,1.000000,1.000000,0.030781,4.000000,-4.000000,0.005267,0.035557,1102.333288,0
verify_joint_K28_phase05,28,5,2,2.725000,-1.362500,1.362500,30,1.000000,1.000000,1.000000,0.030793,4.000000,-4.000000,0.005389,0.035686,1662.556898,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,-4,0.955000,0.000000,0.000000,16.490837,10.000000,2.000000,-0.711076,7.663187,1.093501,138
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,-2,0.990000,0.000000,0.065000,6.870060,10.000000,2.000000,-0.551226,1.453498,1.155508,38
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,0,1.000000,0.000000,0.510000,0.398056,10.000000,2.000000,-0.027664,0.274026,1.287147,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,2,1.000000,0.010000,0.970000,0.226626,10.000000,2.000000,0.022649,0.154734,1.498743,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,4,1.000000,0.125000,1.000000,0.145094,10.000000,2.000000,0.023085,0.104208,1.851470,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,6,1.000000,0.435000,1.000000,0.095748,10.000000,2.000000,0.015567,0.068140,2.407289,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,8,1.000000,0.665000,1.000000,0.071031,10.000000,2.000000,0.014944,0.055090,3.319383,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,10,1.000000,0.915000,1.000000,0.053203,10.000000,2.000000,0.014562,0.048043,4.727908,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,12,1.000000,0.985000,1.000000,0.042504,10.000000,2.000000,0.014657,0.043605,6.990729,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,14,1.000000,1.000000,1.000000,0.036706,10.000000,2.000000,0.012687,0.039614,10.548742,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,16,1.000000,1.000000,1.000000,0.033808,10.000000,2.000000,0.015247,0.040909,16.187240,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,18,1.000000,1.000000,1.000000,0.032181,10.000000,2.000000,0.016258,0.041009,25.179650,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,20,1.000000,1.000000,1.000000,0.030949,10.000000,2.000000,0.016152,0.040435,39.458073,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,22,1.000000,1.000000,1.000000,0.028995,10.000000,2.000000,0.014626,0.038538,61.751493,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,24,1.000000,1.000000,1.000000,0.028929,10.000000,2.000000,0.015160,0.038988,97.227364,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,26,1.000000,1.000000,1.000000,0.028253,10.000000,2.000000,0.014702,0.038329,153.162521,0
verify_joint_K28_phase05,28,5,3,1.816667,-0.908333,0.908333,28,1.000000,1.000000,1.000000,0.028034,10.000000,2.000000,0.014704,0.038331,241.095414,0
